"","from","to","weight","type","subtype","name"
"1",1,2,600,"pottery","decor","straight_cord_mat"
"2",1,3,4.52488687782806,"pottery","decor","straight_cord_mat"
"3",1,4,1381.6,"pottery","decor","straight_cord_mat"
"4",1,5,1312.0464444,"pottery","decor","straight_cord_mat"
"5",1,6,1748.4662577,"pottery","decor","straight_cord_mat"
"6",1,15,224.108658743633,"pottery","decor","straight_cord_mat"
"7",2,3,0.754147812971342,"pottery","decor","straight_cord_mat"
"8",2,4,230.266666666667,"pottery","decor","straight_cord_mat"
"9",2,5,218.6744074,"pottery","decor","straight_cord_mat"
"10",2,6,291.41104295,"pottery","decor","straight_cord_mat"
"11",2,15,37.3514431239389,"pottery","decor","straight_cord_mat"
"12",3,4,1.73655103066868,"pottery","decor","straight_cord_mat"
"13",3,5,1.64912826093514,"pottery","decor","straight_cord_mat"
"14",3,6,2.1976700071644,"pottery","decor","straight_cord_mat"
"15",3,15,0.28168509143242,"pottery","decor","straight_cord_mat"
"16",4,5,503.534268773067,"pottery","decor","straight_cord_mat"
"17",4,6,671.022494899533,"pottery","decor","straight_cord_mat"
"18",4,15,86.0079230333899,"pottery","decor","straight_cord_mat"
"19",5,6,637.241371269072,"pottery","decor","straight_cord_mat"
"20",5,15,81.6780469066214,"pottery","decor","straight_cord_mat"
"21",6,15,108.846229964346,"pottery","decor","straight_cord_mat"
"22",7,2,29.6803653,"pottery","decor","folded_strip_roulette"
"23",7,8,40.269842378766,"pottery","decor","folded_strip_roulette"
"24",7,9,85.5814214224585,"pottery","decor","folded_strip_roulette"
"25",7,3,11.3531451967213,"pottery","decor","folded_strip_roulette"
"26",7,10,39.5045142439804,"pottery","decor","folded_strip_roulette"
"27",7,11,40.2189361595824,"pottery","decor","folded_strip_roulette"
"28",7,12,4.45651130778587,"pottery","decor","folded_strip_roulette"
"29",7,13,29.6803653,"pottery","decor","folded_strip_roulette"
"30",7,14,7.10906953341399,"pottery","decor","folded_strip_roulette"
"31",7,4,17.3432267903,"pottery","decor","folded_strip_roulette"
"32",7,15,10.5821336383701,"pottery","decor","folded_strip_roulette"
"33",7,16,3.68242745633264,"pottery","decor","folded_strip_roulette"
"34",7,17,29.4982771700717,"pottery","decor","folded_strip_roulette"
"35",7,22,106.468645064128,"pottery","decor","folded_strip_roulette"
"36",2,8,135.678392,"pottery","decor","folded_strip_roulette"
"37",2,9,288.3435583,"pottery","decor","folded_strip_roulette"
"38",2,3,38.2513661202186,"pottery","decor","folded_strip_roulette"
"39",2,10,133.0998249,"pottery","decor","folded_strip_roulette"
"40",2,11,135.5068772,"pottery","decor","folded_strip_roulette"
"41",2,12,15.01501502,"pottery","decor","folded_strip_roulette"
"42",2,13,100,"pottery","decor","folded_strip_roulette"
"43",2,14,23.95209581,"pottery","decor","folded_strip_roulette"
"44",2,4,58.4333333333333,"pottery","decor","folded_strip_roulette"
"45",2,15,35.6536502546689,"pottery","decor","folded_strip_roulette"
"46",2,16,12.40694789,"pottery","decor","folded_strip_roulette"
"47",2,17,99.38650307,"pottery","decor","folded_strip_roulette"
"48",2,22,358.71743486974,"pottery","decor","folded_strip_roulette"
"49",8,9,391.219903337023,"pottery","decor","folded_strip_roulette"
"50",8,3,51.8988384699454,"pottery","decor","folded_strip_roulette"
"51",8,10,180.587702179136,"pottery","decor","folded_strip_roulette"
"52",8,11,183.853552034375,"pottery","decor","folded_strip_roulette"
"53",8,12,20.3721309376945,"pottery","decor","folded_strip_roulette"
"54",8,13,135.678392,"pottery","decor","folded_strip_roulette"
"55",8,14,32.4978184453074,"pottery","decor","folded_strip_roulette"
"56",8,4,79.2814070586666,"pottery","decor","folded_strip_roulette"
"57",8,15,48.3742993548387,"pottery","decor","folded_strip_roulette"
"58",8,16,16.8335473934299,"pottery","decor","folded_strip_roulette"
"59",8,17,134.846009230407,"pottery","decor","folded_strip_roulette"
"60",8,22,486.70204745491,"pottery","decor","folded_strip_roulette"
"61",9,3,110.295350169399,"pottery","decor","folded_strip_roulette"
"62",9,10,383.784771207729,"pottery","decor","folded_strip_roulette"
"63",9,11,390.725351459691,"pottery","decor","folded_strip_roulette"
"64",9,12,43.2948285879475,"pottery","decor","folded_strip_roulette"
"65",9,13,288.3435583,"pottery","decor","folded_strip_roulette"
"66",9,14,69.0643253459792,"pottery","decor","folded_strip_roulette"
"67",9,4,168.488752566633,"pottery","decor","folded_strip_roulette"
"68",9,15,102.805003808149,"pottery","decor","folded_strip_roulette"
"69",9,16,35.7746350224528,"pottery","decor","folded_strip_roulette"
"70",9,17,286.574579421977,"pottery","decor","folded_strip_roulette"
"71",9,22,1034.33861594589,"pottery","decor","folded_strip_roulette"
"72",3,10,50.9125013278689,"pottery","decor","folded_strip_roulette"
"73",3,11,51.833231715847,"pottery","decor","folded_strip_roulette"
"74",3,12,5.74344836830601,"pottery","decor","folded_strip_roulette"
"75",3,13,38.2513661202186,"pottery","decor","folded_strip_roulette"
"76",3,14,9.16200386174864,"pottery","decor","folded_strip_roulette"
"77",3,4,22.3515482695811,"pottery","decor","folded_strip_roulette"
"78",3,15,13.6380082941357,"pottery","decor","folded_strip_roulette"
"79",3,16,4.74582706174864,"pottery","decor","folded_strip_roulette"
"80",3,17,38.016695163388,"pottery","decor","folded_strip_roulette"
"81",3,22,137.214319349081,"pottery","decor","folded_strip_roulette"
"82",10,11,180.359416280658,"pottery","decor","folded_strip_roulette"
"83",10,12,19.9849587003287,"pottery","decor","folded_strip_roulette"
"84",10,13,133.0998249,"pottery","decor","folded_strip_roulette"
"85",10,14,31.8801975829902,"pottery","decor","folded_strip_roulette"
"86",10,4,77.7746643499,"pottery","decor","folded_strip_roulette"
"87",10,15,47.4549460594227,"pottery","decor","folded_strip_roulette"
"88",10,16,16.5136259170242,"pottery","decor","folded_strip_roulette"
"89",10,17,132.283261560403,"pottery","decor","folded_strip_roulette"
"90",10,22,477.452277697395,"pottery","decor","folded_strip_roulette"
"91",11,12,20.346377964713,"pottery","decor","folded_strip_roulette"
"92",11,13,135.5068772,"pottery","decor","folded_strip_roulette"
"93",11,14,32.456737056083,"pottery","decor","folded_strip_roulette"
"94",11,4,79.1811852438666,"pottery","decor","folded_strip_roulette"
"95",11,15,48.3131480679117,"pottery","decor","folded_strip_roulette"
"96",11,16,16.8122676415703,"pottery","decor","folded_strip_roulette"
"97",11,17,134.675546668439,"pottery","decor","folded_strip_roulette"
"98",11,22,486.086793963929,"pottery","decor","folded_strip_roulette"
"99",12,13,15.01501502,"pottery","decor","folded_strip_roulette"
"100",12,14,3.59641078347629,"pottery","decor","folded_strip_roulette"
"101",12,4,8.77377377668666,"pottery","decor","folded_strip_roulette"
"102",12,15,5.3534009409168,"pottery","decor","folded_strip_roulette"
"103",12,16,1.86290508920707,"pottery","decor","folded_strip_roulette"
"104",12,17,14.9228983638133,"pottery","decor","folded_strip_roulette"
"105",12,22,53.8614767250502,"pottery","decor","folded_strip_roulette"
"106",13,14,23.95209581,"pottery","decor","folded_strip_roulette"
"107",13,4,58.4333333333333,"pottery","decor","folded_strip_roulette"
"108",13,15,35.6536502546689,"pottery","decor","folded_strip_roulette"
"109",13,16,12.40694789,"pottery","decor","folded_strip_roulette"
"110",13,17,99.38650307,"pottery","decor","folded_strip_roulette"
"111",13,22,358.71743486974,"pottery","decor","folded_strip_roulette"
